Coding Scheme 1 = Absolute
Coding Scheme 2 = Vowel-centric (L-R)
Coding Scheme 3 = Vowel-centric (R-L)
Coding Scheme 4 = Ends-first
Coding Scheme 5 = SOLAR (Spatial Coding)
Coding Scheme 6 = Binary Open Bigram
Coding Scheme 7 = Overlap Open Bigram (OOB)
Coding Scheme 8 = SERIOL_2001 (Open Bigram)


ILW = 1
sigma = 2
c = 1.00
Stim1   	Stim2   	Match1	Match2	Match3	Match4	Match5	Match6	Match7	Match8	
reunion 	reunion 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.97	 1.00	
revision	revision	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.91	 1.00	
ritual  	ritual  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
sabor   	savor   	 0.80	 0.80	 0.80	 0.80	 0.86	 0.56	 0.47	 0.75	
salario 	salary  	 0.71	 0.71	 0.71	 0.43	 0.67	 0.54	 0.54	 0.57	
serie   	series  	 1.00	 1.00	 1.00	 0.60	 0.86	 1.00	 0.97	 1.00	
sofa    	sofa    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
subversion	subversion	 1.00	 1.00	 1.00	 0.90	 1.00	 1.00	 1.00	 1.00	
taxi    	taxi    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
television	television	 1.00	 1.00	 1.00	 0.90	 1.00	 1.00	 0.86	 1.00	
terror  	terror  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.72	 1.00	
total   	total   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.83	 1.00	
transito	transit 	 0.88	 0.88	 0.88	 0.50	 0.80	 0.83	 0.85	 0.80	
uniforme	uniform 	 0.88	 0.88	 0.88	 0.50	 0.80	 0.83	 0.85	 0.78	
union   	union   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.94	 1.00	
universo	universe	 0.88	 0.88	 0.88	 0.88	 0.80	 0.83	 0.86	 0.81	
universidad	university	 0.73	 0.64	 0.64	 0.36	 0.69	 0.69	 0.70	 0.68	
vegetal 	vegetable	 0.86	 0.86	 0.71	 0.57	 0.86	 0.92	 0.81	 0.92	
velocidad	velocity	 0.67	 0.67	 0.44	 0.44	 0.64	 0.60	 0.62	 0.63	
version 	version 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
violin  	violin  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.96	 1.00	
advertencia	advertising	 0.55	 0.55	 0.55	 0.45	 0.62	 0.48	 0.48	 0.67	
jugo    	jug     	 0.75	 0.75	 0.75	 0.50	 0.67	 0.50	 0.63	 0.59	
jarra   	jar     	 0.60	 0.60	 0.60	 0.40	 0.57	 0.50	 0.38	 0.82	
vial    	vial    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
leopardo	leopard 	 0.88	 0.88	 0.88	 0.50	 0.80	 0.83	 0.85	 0.89	
hipopotamo	hippopotamus	 0.30	 0.60	 0.60	 0.40	 0.79	 0.80	 0.73	 0.95	
grupo   	group   	 0.40	 0.60	 0.60	 0.40	 0.68	 0.67	 0.60	 0.90	
problema	problem 	 0.88	 0.88	 0.88	 0.50	 0.80	 0.83	 0.85	 0.78	
humano  	human   	 0.83	 0.83	 0.83	 0.50	 0.75	 0.75	 0.79	 0.71	
informacion	information	 0.91	 0.82	 0.82	 0.82	 0.92	 0.76	 0.77	 0.86	
momento 	moment  	 0.86	 0.86	 0.86	 0.43	 0.78	 0.79	 0.72	 0.91	
lista   	list    	 0.80	 0.80	 0.80	 0.40	 0.71	 0.67	 0.73	 0.66	
mortal  	mortal  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
examen  	exam    	 0.67	 0.67	 0.33	 0.33	 0.62	 0.50	 0.58	 0.57	
computadora	computer	 0.55	 0.55	 0.55	 0.36	 0.56	 0.44	 0.49	 0.61	
